year	sume	nsume
1998	2055.90403	1693.3064
1999	2045.040698	1634.138948
2000	2081.718844	1450.758778
2001	2129.375427	1410.616825
2002	2141.016541	1212.03104
2003	2151.790781	1147.113787
2004	2214.51147	1110.958635
2005	2179.861951	964.4176621
2006	2132.975328	876.8039707
2007	2138.274948	788.7766889
2008	2166.353669	752.1288846
2009	1992.774163	703.7789251
