CTYNAME	Mecklenburg County	Wake County	Guilford County	Forsyth County	Cumberland County	Durham County	Buncombe County	Gaston County	Union County	New Hanover County	Onslow County	Cabarrus County	Johnston County	Davidson County	Pitt County	Iredell County	Catawba County	Alamance County	Randolph County	Rowan County	Orange County	Robeson County	Wayne County	Harnett County	Brunswick County	Henderson County	Craven County	Cleveland County	Nash County	Rockingham County	Burke County	Moore County	Caldwell County	Wilson County	Lincoln County	Surry County	Wilkes County	Sampson County	Carteret County	Rutherford County	Chatham County	Stanly County	Franklin County	Lee County	Haywood County	Granville County	Lenoir County	Columbus County	Halifax County	Duplin County	Pender County	Edgecombe County	Beaufort County	Richmond County	Stokes County	Hoke County	Watauga County	McDowell County	Vance County	Pasquotank County	Davie County	Person County	Yadkin County	Jackson County	Alexander County	Scotland County	Macon County	Dare County	Bladen County	Transylvania County	Montgomery County	Cherokee County	Ashe County	Anson County	Hertford County	Martin County	Currituck County	Caswell County	Greene County	Northampton County	Madison County	Bertie County	Warren County	Polk County	Yancey County	Avery County	Mitchell County	Chowan County	Swain County	Washington County	Perquimans County	Pamlico County	Gates County	Alleghany County	Clay County	Jones County	Camden County	Graham County	Hyde County	Tyrrell County
CVD delta	0.192957031	0.301044273	0.075948293	-0.290477848	0.204388221	0.272075306	-0.002830909	0.221603158	0.664136424	0.208388125	0.078310706	0.452871445	0.20858176	0.253868863	-0.016179975	0.033599864	0.112591134	0.300005011	0.52014064	0.277711515	0.151183374	-0.138470829	-0.020815599	0.096920672	0.139323958	0.092898806	0.117986501	0.149416054	0.069587795	0.205956913	0.245412597	0.461311934	0.05430473	0.267142511	0.297356515	0.06221143	-0.157554664	0.260964402	0.289711951	0.342518961	0.348104385	0.035889934	0.19000605	0.054307003	0.106097997	-0.100738723	-0.002958454	-0.071695032	0.367413668	0.073772794	0.23761438	-0.045233741	0.13970327	-0.136967271	0.403591079	0.268527744	0.129357603	0.827757587	0.352325296	0.147216997	-0.176563134	0.413726097	0.237083929	0.044630759	0.426362042	0.074855185	1.336641477	0.270487177	0.250237104	0.106030047	-0.054597312	0.54078646	0.094409422	0.181533613	0.130763387	-0.287948019	0.763893441	0.454002447	0.224858285	0.13146814	-0.122994421	0.0717939	0.451182296	0.213417212	-0.004433767	-0.512761729	0.107541995	0.679867851	0.439375139	0.236233987	0.053707627	0.046226946	0.290922031	-0.179040297	0.570622463	0.063668966	0.400481894	0.401080971	0.320843381	0.823104885
CVM delta	-0.135278786	-0.076847702	-0.124846458	-0.257514825	-0.232997351	-0.204408568	-0.300317218	-0.201015493	-0.404884272	-0.214413739	-0.399185617	-0.126692078	-0.303745896	-0.387632519	-0.112566571	-0.040786705	-0.27550913	-0.238160652	-0.188346493	-0.203157321	-0.091670948	-0.105353432	-0.364768866	-0.38585454	-0.375022768	-0.216794435	-0.399696078	-0.336866344	-0.273794536	-0.359266887	-0.503885626	-0.469518746	-0.2699597	-0.157525271	-0.330877313	-0.580756129	-0.701568926	-0.416172083	-0.320660076	-0.531033965	-0.329281665	-0.136018067	-0.194872358	-0.204327277	-0.248817001	-0.362449245	-0.080922999	-0.367288044	-0.176467445	-0.467947288	-0.39156827	-0.223068248	-0.44160115	-0.441704815	-0.334712259	-0.258703594	-0.378577834	0.058585232	-0.240018261	-0.347672196	-0.348323798	-0.427643972	-0.398953771	-0.381990597	-0.284056006	-0.129236837	0.759712009	-0.126164802	-0.861592646	-0.238640634	-0.336177177	-0.372422392	-0.531994038	-0.300607432	-0.326226185	-0.145183346	-0.176559301	-0.660271174	-0.326472771	-0.399535092	-0.859629363	-0.340564991	-0.279415487	-0.256553925	-0.751187069	-0.66838229	-0.616671629	-0.551139572	-0.226576012	-0.395953419	-0.559519623	-0.538559786	-0.364720245	-0.528094675	-0.27957355	-0.388400624	-0.595737185	-0.460736227	0.024792278	-0.446930134
CVS delta	0.175565275	-0.130444366	-0.021345555	-0.099639967	-0.184542121	-0.175687666	0.32837749	-0.047252064	0.1486522	-0.03051569	-0.13505098	0.260544076	-0.040825058	0.102527712	-0.152282431	0.233604357	0.205934165	0.073326945	0.07032668	0.00797243	-0.106182714	-0.19660886	-0.090603586	-0.20504593	0.305454423	0.253568481	-0.164294936	-0.200825465	-0.352592315	0.188525231	-0.102783644	-0.253194851	-0.068182473	-0.077382664	0.157699187	-0.357353943	-0.301765241	0.231128407	0.143738321	-0.014446655	-0.178674297	0.117491599	-0.005461653	-0.297673914	0.43830026	-0.232352075	-0.118842993	-0.220450123	0.022344232	-0.225807522	0.092693566	-0.158194228	-0.036896131	-0.154743478	-0.41198364	-0.248249414	0.426277595	0.349860594	-0.316238665	-0.310380341	0.108096244	-0.122402801	-0.336883548	0.915394402	0.146088931	-0.138159594	0.978143059	0.266009921	0.070292264	0.123200559	0.295284492	0.584587179	0.205368939	0.074915935	-0.058683882	-0.179580061	0.542585205	-0.075923184	0.014055903	-0.217479243	-0.585112252	-0.137678391	-0.120189131	0.338483329	-0.095113171	0.099646374	0.141139073	0.838051694	0.404375135	-0.305516194	0.251155624	0.813460041	-0.357128078	0.327749156	0.249051053	0.086681034	0.040382244	-0.349752263	-0.164921334	0.533723158
2009 pop estimate	894290	892409	475953	355575	321071	266132	230421	207234	196322	194054	179455	174255	168217	159947	158541	157013	157002	148338	142467	140495	132272	131080	116554	112844	107127	105221	100261	98628	95804	91878	89653	86945	80130	80005	75702	73881	67519	65406	64712	63821	62482	60079	59191	58563	58028	57434	57221	56309	55173	53659	53095	51327	47393	46847	46792	46134	45377	44742	43614	41845	41752	38272	37996	37990	37316	36926	34494	34355	32043	31091	27983	27090	26491	25193	24010	23855	23815	23571	21384	21018	20846	20114	19932	19355	18551	18303	15976	14818	13851	13000	12980	12838	11814	11258	10538	10150	9732	8327	5391	4251
