CTYNAME	Wake County	Union County	Chatham County	Camden County	Mecklenburg County	Cabarrus County	Currituck County	Orange County	Dare County	Johnston County	Davie County	Durham County	Lincoln County	Iredell County	Granville County	Stokes County	Moore County	Forsyth County	Brunswick County	New Hanover County	Henderson County	Guilford County	Carteret County	Lee County	Davidson County	Franklin County	Pender County	Harnett County	Rowan County	Gates County	Person County	Stanly County	Catawba County	Polk County	Cumberland County	Onslow County	Craven County	Buncombe County	Gaston County	Yadkin County	Hoke County	Alexander County	Haywood County	Wayne County	Pamlico County	Nash County	Wilson County	Pasquotank County	Clay County	Beaufort County	Greene County	Randolph County	Cleveland County	Watauga County	Jackson County	Perquimans County	Transylvania County	Wilkes County	Pitt County	Burke County	Madison County	Rockingham County	Macon County	Chowan County	Swain County	McDowell County	Caldwell County	Mitchell County	Jones County	Surry County	Lenoir County	Yancey County	Alamance County	Ashe County	Caswell County	Rutherford County	Sampson County	Avery County	Montgomery County	Alleghany County	Cherokee County	Vance County	Washington County	Hyde County	Columbus County	Anson County	Edgecombe County	Scotland County	Hertford County	Warren County	Martin County	Northampton County	Bladen County	Duplin County	Graham County	Richmond County	Tyrrell County	Halifax County	Bertie County	Robeson County
2009 Median income	63770	63190	57174	55985	53158	52988	51997	51944	49565	49501	49057	48770	48161	47979	46305	46245	45987	45769	44891	44719	44408	44386	44036	43452	43420	43359	43261	42792	42787	42742	42559	42296	42100	42072	41163	41161	41021	40979	40940	40939	40838	40813	40380	40291	39918	39770	39511	39370	39298	38829	38733	38529	38304	38031	37823	37284	36807	36516	36339	36177	36135	36104	35982	35944	35700	35595	35489	35398	35079	34397	34213	34148	34103	34056	34028	34016	33937	33919	33787	33501	33408	33341	33190	33097	33024	32500	32172	31974	31879	31834	31514	31355	31248	31026	30727	30449	30058	29966	29693	27421
CVD delta	0.301044273	0.664136424	0.348104385	0.400481894	0.192957031	0.452871445	0.763893441	0.151183374	0.270487177	0.20858176	-0.176563134	0.272075306	0.297356515	0.033599864	-0.100738723	0.403591079	0.461311934	-0.290477848	0.139323958	0.208388125	0.092898806	0.075948293	0.289711951	0.054307003	0.253868863	0.19000605	0.23761438	0.096920672	0.277711515	0.290922031	0.413726097	0.035889934	0.112591134	0.213417212	0.204388221	0.078310706	0.117986501	-0.002830909	0.221603158	0.237083929	0.268527744	0.426362042	0.106097997	-0.020815599	0.046226946	0.069587795	0.267142511	0.147216997	0.570622463	0.13970327	0.224858285	0.52014064	0.149416054	0.129357603	0.044630759	0.053707627	0.106030047	-0.157554664	-0.016179975	0.245412597	-0.122994421	0.205956913	1.336641477	0.679867851	0.439375139	0.827757587	0.05430473	0.107541995	0.063668966	0.06221143	-0.002958454	-0.004433767	0.300005011	0.094409422	0.454002447	0.342518961	0.260964402	-0.512761729	-0.054597312	-0.179040297	0.54078646	0.352325296	0.236233987	0.320843381	-0.071695032	0.181533613	-0.045233741	0.074855185	0.130763387	0.451182296	-0.287948019	0.13146814	0.250237104	0.073772794	0.401080971	-0.136967271	0.823104885	0.367413668	0.0717939	-0.138470829
CVM delta	-0.076847702	-0.404884272	-0.329281665	-0.595737185	-0.135278786	-0.126692078	-0.176559301	-0.091670948	-0.126164802	-0.303745896	-0.348323798	-0.204408568	-0.330877313	-0.040786705	-0.362449245	-0.334712259	-0.469518746	-0.257514825	-0.375022768	-0.214413739	-0.216794435	-0.124846458	-0.320660076	-0.204327277	-0.387632519	-0.194872358	-0.39156827	-0.38585454	-0.203157321	-0.364720245	-0.427643972	-0.136018067	-0.27550913	-0.256553925	-0.232997351	-0.399185617	-0.399696078	-0.300317218	-0.201015493	-0.398953771	-0.258703594	-0.284056006	-0.248817001	-0.364768866	-0.538559786	-0.273794536	-0.157525271	-0.347672196	-0.27957355	-0.44160115	-0.326472771	-0.188346493	-0.336866344	-0.378577834	-0.381990597	-0.559519623	-0.238640634	-0.701568926	-0.112566571	-0.503885626	-0.859629363	-0.359266887	0.759712009	-0.551139572	-0.226576012	0.058585232	-0.2699597	-0.616671629	-0.388400624	-0.580756129	-0.080922999	-0.751187069	-0.238160652	-0.531994038	-0.660271174	-0.531033965	-0.416172083	-0.66838229	-0.336177177	-0.528094675	-0.372422392	-0.240018261	-0.395953419	0.024792278	-0.367288044	-0.300607432	-0.223068248	-0.129236837	-0.326226185	-0.279415487	-0.145183346	-0.399535092	-0.861592646	-0.467947288	-0.460736227	-0.441704815	-0.446930134	-0.176467445	-0.340564991	-0.105353432
CVS delta	-0.130444366	0.1486522	-0.178674297	0.040382244	0.175565275	0.260544076	0.542585205	-0.106182714	0.266009921	-0.040825058	0.108096244	-0.175687666	0.157699187	0.233604357	-0.232352075	-0.41198364	-0.253194851	-0.099639967	0.305454423	-0.03051569	0.253568481	-0.021345555	0.143738321	-0.297673914	0.102527712	-0.005461653	0.092693566	-0.20504593	0.00797243	-0.357128078	-0.122402801	0.117491599	0.205934165	0.338483329	-0.184542121	-0.13505098	-0.164294936	0.32837749	-0.047252064	-0.336883548	-0.248249414	0.146088931	0.43830026	-0.090603586	0.813460041	-0.352592315	-0.077382664	-0.310380341	0.249051053	-0.036896131	0.014055903	0.07032668	-0.200825465	0.426277595	0.915394402	0.251155624	0.123200559	-0.301765241	-0.152282431	-0.102783644	-0.585112252	0.188525231	0.978143059	0.838051694	0.404375135	0.349860594	-0.068182473	0.141139073	0.086681034	-0.357353943	-0.118842993	-0.095113171	0.073326945	0.205368939	-0.075923184	-0.014446655	0.231128407	0.099646374	0.295284492	0.327749156	0.584587179	-0.316238665	-0.305516194	-0.164921334	-0.220450123	0.074915935	-0.158194228	-0.138159594	-0.058683882	-0.120189131	-0.179580061	-0.217479243	0.070292264	-0.225807522	-0.349752263	-0.154743478	0.533723158	0.022344232	-0.137678391	-0.19660886
2009 pop estimate	"892,409"	"196,322"	"62,482"	"9,732"	"894,290"	"174,255"	"23,815"	"132,272"	"34,355"	"168,217"	"41,752"	"266,132"	"75,702"	"157,013"	"57,434"	"46,792"	"86,945"	"355,575"	"107,127"	"194,054"	"105,221"	"475,953"	"64,712"	"58,563"	"159,947"	"59,191"	"53,095"	"112,844"	"140,495"	"11,814"	"38,272"	"60,079"	"157,002"	"19,355"	"321,071"	"179,455"	"100,261"	"230,421"	"207,234"	"37,996"	"46,134"	"37,316"	"58,028"	"116,554"	"12,838"	"95,804"	"80,005"	"41,845"	"10,538"	"47,393"	"21,384"	"142,467"	"98,628"	"45,377"	"37,990"	"12,980"	"31,091"	"67,519"	"158,541"	"89,653"	"20,846"	"91,878"	"34,494"	"14,818"	"13,851"	"44,742"	"80,130"	"15,976"	"10,150"	"73,881"	"57,221"	"18,551"	"148,338"	"26,491"	"23,571"	"63,821"	"65,406"	"18,303"	"27,983"	"11,258"	"27,090"	"43,614"	"13,000"	"5,391"	"56,309"	"25,193"	"51,327"	"36,926"	"24,010"	"19,932"	"23,855"	"21,018"	"32,043"	"53,659"	"8,327"	"46,847"	"4,251"	"55,173"	"20,114"	"131,080"
